NOME,SOBRENOME,EMAIL,SEXO,DATA_NASCIMENTO,SALARIO,EMPRESA
Melissa,Almeida, ,F,1973-01-17,6077.96,MovilePay
Caio,Lima,CaioAzevedoLima@armyspy.com,M,1951-05-24,5202.26,MovilePay
Isabela,Correia,IsabelaRibeiroCorreia@cuvox.de,F,1978-02-28,6867.53,MovilePay
Julieta,Martins,JulietaDiasMartins@supermail.com,F,1957-02-27,7106.5,MovilePay
Julia,Carvalho,JulianSousaCarvalho@supermail.com,M,1987-04-12,6849.06,Ifood
Pedro,Azevedo,PedroFerreiraAzevedo@armyspy.com,M,1960-03-24,9440.79,MovilePay
Kauê,Pereira,KaueBarbosaPereira@teleworm.us,M,1947-12-26,6277.17,Zoop
Sofia,Rocha,SofiaCastroRocha@teleworm.us,F,1956-01-02,8064.63,Zoop
Vitor,Lima,VitorMeloLima@supermail.com,M,1984-04-14,9586.3,Zoop
Marcos,Dias,MarcosRochaDias@einrot.com,M,1959-03-06,7078.38,Zoop
Diego,Gomes,DiegoSantosGomes@armyspy.com,M,1949-12-09,9256.69,Zoop
André,Silva,AndreSantosSilva@cuvox.de,M,1978-11-11,9253.59,MovilePay
Rena,Martins,RenanSantosMartins@einrot.com,M,1978-01-21,8503.64,Ifood
Igor,Gomes,IgorSousaGomes@gustr.com,M,1991-09-10,5625.57,Sympla
 ,Ribeiro,JoaoMartinsRibeiro@jourrapide.com,M,1991-08-18,8863.25,Sympla
Carlos,Rocha,CarlosGomesRocha@supermail.com, ,1994-10-16,8949.38,Sympla
Davi,Pereira,DaviGoncalvesPereira@rhyta.com,M,1960-06-07,9117.6,Ifood
Alex,Araujo,AlexAlvesAraujo@einrot.com,M,1968-08-07,8497.94,Ifood
Eduardo,Rocha,EduardoCardosoRocha@armyspy.com,M,1975-03-15,5196.17,Ifood
Anna,Oliveira,AnnaAzevedoOliveira@cuvox.de,F,1979-10-11,9709.21,Ifood
Isabela,Goncalves,IsabelaAlmeidaGoncalves@superrito.com,F,1994-03-23,9587.7,Ifood
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20,6967.56,Ifood
Igor,Castro,IgorMeloCastro@fleckens.hu,M,1958-1-19,6341.23,Sympla
Thiago,Cavalcanti,ThiagoRodriguesCavalcanti@fleckens.hu,M,1991-04-12,5421.57,Sympla
Otávio,Rodrigues,OtavioFernandesRodrigues@teleworm.us,M,1971-01-13,6676.19,Sympla
Arthur,Cavalcanti,ArthurBarrosCavalcanti@einrot.com,M,1954-08-30,9079.71,Sympla
Davi,Pereira,DaviGoncalvesPereira@rhyta.com,M,1960-06-07,9117.6,Ifood
Alex,Araujo,AlexAlvesAraujo@einrot.com,M,1968-08-07,8497.94,Ifood
Eduardo,Rocha,EduardoCardosoRocha@armyspy.com,M,1975-03-15,5196.17,Ifood
Anna,Oliveira,AnnaAzevedoOliveira@cuvox.de,F,1979-10-11,9709.21,Ifood
Isabela,Goncalves,IsabelaAlmeidaGoncalves@superrito.com,F,1994-03-23,9587.7,Ifood
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20,6967.56,Ifood
Igor,Castro,IgorMeloCastro@fleckens.hu,M,1958-1-19,6341.23,Sympla
Thiago,Cavalcanti,ThiagoRodriguesCavalcanti@fleckens.hu,M,1991-04-12,5421.57,Sympla
Otávio,Rodrigues,OtavioFernandesRodrigues@teleworm.us,M,1971-01-13,6676.19,Sympla
Arthur,Cavalcanti,ArthurBarrosCavalcanti@einrot.com,M,1954-08-30,9079.71,Sympla
Clara,Almeida,ClaraCorreiaAlmeida@cuvox.de,F,1946-05-08,6246.03,Sympla
Julia,Gomes,JulianSousaGomes@superrito.com,M,1992-04-13,6917.19,Sympla
Vinicius,Melo,ViniciusBarrosMelo@armyspy.com,M,1950-10-30,7915.13,Sympla
Kauã,Castro,KauaSantosCastro@fleckens.hu,M,1966-01-29,6552.83,Sympla
Rodrigo,Castro,RodrigoCostaCastro@einrot.com,M,1989-01-17,9077.83,Sympla
Matheus,Melo,MatheusSilvaMelo@teleworm.us,M,1991-09-21,5463.94,Sympla
Caio,Correia,CaioAraujoCorreia@gustr.com,M,1974-03-30,6179.99,Zoop
Vitor,Dias,VitorRodriguesDias@jourrapide.com,M,1974-03-24,7766.4,Ifood
Rena,Dias,RenanOliveiraDias@jourrapide.com,M,1951-09-18,7474.53,Ifood
Mateus,Barbosa,MateusAlvesBarbosa@fleckens.hu,M,1965-05-19,6286.88,Ifood
Arthur,Fernandes,ArthurRibeiroFernandes@gustr.com,M,1972-06-14,5027.51,Ifood
Vinicius,Souza,ViniciusGomesSouza@armyspy.com,M,1980-11-13,7934.21,Ifood
José,Fernandes,JosePereiraFernandes@cuvox.de,M,1980-05-19,6389.18,Ifood
Vinícius,Cavalcanti,ViniciusBarrosCavalcanti@jourrapide.com,null,1979-02-20,5143.09,Ifood
Beatrice,Barbosa,BeatriceSouzaBarbosa@rhyta.com,F,1990-11-27,6954.73,Ifood
Julieta,Rodrigues,JulietaAraujoRodrigues@teleworm.us,F,1963-08-29,5269.48,Ifood
Beatriz,Souza,BeatrizCostaSouza@cuvox.de,F,1950-08-14,6580.01,Ifood
Beatriz,Rocha,BeatrizRibeiroRocha@supermail.com,F,1946-09-06,7906.83,Ifood
Sophia,Alves,SophiaCorreiaAlves@jourrapide.com,F,1972-09-20,9578.11,Ifood
Esteva,Carvalho,EstevanMartinsCarvalho@cuvox.de,M,1960-09-17,5452.67,Ifood
Daniel,Cavalcanti,DanielAraujoCavalcanti@supermail.com,M,1960-04-01,8585.59,Ifood
Kauã,Alves,KauaCostaAlves@supermail.com,M,1985-05-22,7046.86,Zoop
Carlos,Azevedo,CarlosCostaAzevedo@supermail.com,M,1966-09-22,7428.54,Zoop
Júlio,Cunha,JulioCostaCunha@rhyta.com,M,1970-05-20,8620.65,Zoop
Gabriela,Cunha,GabrielaCavalcantiCunha@superrito.com,F,1949-07-18,8167.43,Zoop
Kaua,Goncalves,KauaFernandesGoncalves@superrito.com,M,1953-08-01,6102.34,Zoop
Tânia,Lima,TaniaCunhaLima@einrot.com,F,1992-12-17,5265.6,Zoop
Marina,Pereira,MarinaPintoPereira@jourrapide.com,F,1977-06-21,5255.14,Zoop
Bruno,Dias,BrunoBarbosaDias@gustr.com,M,1946-05-31,5642.69,Zoop
Matilde,Barbosa,MatildePereiraBarbosa@einrot.com,F,1984-09-26,5163.69,Zoop
Isabella,Santos,IsabellaSilvaSantos@teleworm.us,F,1971-05-22,8410.25,Zoop
Rafaela,Silva,RafaelaBarbosaSilva@cuvox.de,F,1949-11-24,9009.66,Zoop
Enzo,Cavalcanti,EnzoLimaCavalcanti@gustr.com,M,1957-02-26,7440.67,Zoop
Vinicius,Ferreira,ViniciusCunhaFerreira@gustr.com,M,1992-07-29,8034.24,Zoop
Lua,Oliveira,LuanCarvalhoOliveira@cuvox.de,M,1985-05-12,6774.67,Zoop
Lara,Melo,LaraSouzaMelo@cuvox.de,F,1973-05-08,9863.52,Zoop
Luiza,Melo,LuizaCunhaMelo@einrot.com,F,1944-12-13,8276.02,Zoop
Emily,Rodrigues,EmilyMartinsRodrigues@fleckens.hu,F,1964-05-19,8919.71,Sympla
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20,7629.18,Sympla
Vitoria,Ribeiro,VitoriaSantosRibeiro@cuvox.de,F,1946-09-09,9941.88,Sympla
Danilo,Alves,DaniloCavalcantiAlves@rhyta.com,M,1972-05-16,7958.59,Sympla
Luís,Costa,LuisAzevedoCosta@rhyta.com,M,1984-10-04,5245.14,Sympla
Isabelle,Souza,IsabelleSantosSouza@gustr.com,F,1957-02-09,5055.56,Sympla
Leonardo,Pinto,LeonardoGomesPinto@supermail.com,M,1969-07-31,8617.9,Sympla
Diego,Ribeiro,DiegoCardosoRibeiro@jourrapide.com,M,1987-09-05,5760.47,Sympla
Sophia,Azevedo,SophiaCastroAzevedo@einrot.com,F,1984-11-02,7032.56,Sympla
Beatriz,Lima,BeatrizSouzaLima@gustr.com,F,1980-02-23,7574.88,Sympla
Felipe,Oliveira,FelipeFerreiraOliveira@supermail.com,M,1976-10-14,7896.12,Sympla
Marisa,Oliveira,MarisaBarrosOliveira@fleckens.hu,F,1981-10-11,7872.03,Sympla
Rebeca,Ferreira,RebecaMeloFerreira@jourrapide.com,F,1984-06-24,8329.24,Sympla
Kauã,Rodrigues,KauaOliveiraRodrigues@cuvox.de,M,1990-03-31,8330.46,Sympla
Carla,Silva,CarlaAraujoSilva@rhyta.com,F,1972-03-04,7715.29,Sympla
Leonor,Santos,LeonorSousaSantos@rhyta.com,F,1986-11-29,9048.8,Sympla
Kaua,Castro,KauaBarbosaCastro@teleworm.us,M,1992-05-04,6781.46,Sympla
Eduarda,Dias,EduardaRodriguesDias@cuvox.de,F,1982-08-31,8433.6,Sympla
Ágatha,Oliveira,AgathaCorreiaOliveira@jourrapide.com,F,1953-02-04,5900.22,Sympla
Mateus,Ribeiro,MateusGomesRibeiro@armyspy.com,M,1973-07-28,5472.01,Ifood
Emilly,Santos,EmillyCostaSantos@gustr.com,null,1983-07-31,8891.03,Ifood
Nicole,Martins,NicoleCostaMartins@gustr.com,F,1952-05-19,8436.75,Ifood
Rebeca,Carvalho,RebecaPintoCarvalho@supermail.com,F,1969-08-04,7932.41,Ifood
Sophia,Almeida,SophiaCardosoAlmeida@fleckens.hu,F,1988-03-14,7874.06,Ifood
José,Carvalho,JoseAzevedoCarvalho@fleckens.hu,M,1976-05-08,6994.14,Ifood
