NOME,SOBRENOME,EMAIL,SEXO,DATA_NASCIMENTO,SALARIO,EMPRESA,ANOS_CLIENTE,AVALIACAO_EMPRESA,PARTICIPOU_DE_CAMPANHA,INDICARIA_EMPRESA
Melissa,Almeida, ,F,1973-01-17T00:00:00.000Z,6077.96,MovilePay,9,8,1,1
Caio,Lima,CaioAzevedoLima@armyspy.com,M,1951-05-24T00:00:00.000Z,5202.26,MovilePay,5,2,0,1
Isabela,Correia,IsabelaRibeiroCorreia@cuvox.de,F,1978-02-28T00:00:00.000Z,6867.53,MovilePay,2,8,0,0
Julieta,Martins,JulietaDiasMartins@supermail.com,F,1957-02-27T00:00:00.000Z,7106.5,MovilePay,6,3,0,1
Julia,Carvalho,JulianSousaCarvalho@supermail.com,M,1987-04-12T00:00:00.000Z,6849.06,Ifood,5,9,0,1
Pedro,Azevedo,PedroFerreiraAzevedo@armyspy.com,M,1960-03-24T00:00:00.000Z,9440.79,MovilePay,8,1,0,0
Kauê,Pereira,KaueBarbosaPereira@teleworm.us,M,1947-12-26T00:00:00.000Z,6277.17,Zoop,6,2,0,0
Sofia,Rocha,SofiaCastroRocha@teleworm.us,F,1956-01-02T00:00:00.000Z,8064.63,Zoop,3,5,0,1
Vitor,Lima,VitorMeloLima@supermail.com,M,1984-04-14T00:00:00.000Z,9586.3,Zoop,5,1,0,1
Marcos,Dias,MarcosRochaDias@einrot.com,M,1959-03-06T00:00:00.000Z,7078.38,Zoop,2,5,0,1
Diego,Gomes,DiegoSantosGomes@armyspy.com,M,1949-12-09T00:00:00.000Z,9256.69,Zoop,3,5,1,1
André,Silva,AndreSantosSilva@cuvox.de,M,1978-11-11T00:00:00.000Z,9253.59,MovilePay,8,8,0,0
Rena,Martins,RenanSantosMartins@einrot.com,M,1978-01-21T00:00:00.000Z,8503.64,Ifood,3,9,1,0
Igor,Gomes,IgorSousaGomes@gustr.com,M,1991-09-10T00:00:00.000Z,5625.57,Sympla,1,0,0,0
 ,Ribeiro,JoaoMartinsRibeiro@jourrapide.com,M,1991-08-18T00:00:00.000Z,8863.25,Sympla,9,5,0,1
Carlos,Rocha,CarlosGomesRocha@supermail.com, ,1994-10-16T00:00:00.000Z,8949.38,Sympla,7,2,0,1
Davi,Pereira,DaviGoncalvesPereira@rhyta.com,M,1960-06-07T00:00:00.000Z,9117.6,Ifood,8,5,1,0
Alex,Araujo,AlexAlvesAraujo@einrot.com,M,1968-08-07T00:00:00.000Z,8497.94,Ifood,6,4,1,1
Eduardo,Rocha,EduardoCardosoRocha@armyspy.com,M,1975-03-15T00:00:00.000Z,5196.17,Ifood,8,5,0,1
Anna,Oliveira,AnnaAzevedoOliveira@cuvox.de,F,1979-10-11T00:00:00.000Z,9709.21,Ifood,0,5,0,1
Isabela,Goncalves,IsabelaAlmeidaGoncalves@superrito.com,F,1994-03-23T00:00:00.000Z,9587.7,Ifood,0,6,0,1
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20T00:00:00.000Z,6967.56,Ifood,2,9,0,0
Igor,Castro,IgorMeloCastro@fleckens.hu,M,1958-01-19T00:00:00.000Z,6341.23,Sympla,3,8,1,1
Thiago,Cavalcanti,ThiagoRodriguesCavalcanti@fleckens.hu,M,1991-04-12T00:00:00.000Z,5421.57,Sympla,5,6,1,1
Otávio,Rodrigues,OtavioFernandesRodrigues@teleworm.us,M,1971-01-13T00:00:00.000Z,6676.19,Sympla,4,9,0,1
Arthur,Cavalcanti,ArthurBarrosCavalcanti@einrot.com,M,1954-08-30T00:00:00.000Z,9079.71,Sympla,2,3,1,0
Davi,Pereira,DaviGoncalvesPereira@rhyta.com,M,1960-06-07T00:00:00.000Z,9117.6,Ifood,3,2,1,0
Alex,Araujo,AlexAlvesAraujo@einrot.com,M,1968-08-07T00:00:00.000Z,8497.94,Ifood,8,6,1,0
Eduardo,Rocha,EduardoCardosoRocha@armyspy.com,M,1975-03-15T00:00:00.000Z,5196.17,Ifood,3,4,1,1
Anna,Oliveira,AnnaAzevedoOliveira@cuvox.de,F,1979-10-11T00:00:00.000Z,9709.21,Ifood,9,0,0,1
Isabela,Goncalves,IsabelaAlmeidaGoncalves@superrito.com,F,1994-03-23T00:00:00.000Z,9587.7,Ifood,2,3,1,0
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20T00:00:00.000Z,6967.56,Ifood,6,0,1,0
Igor,Castro,IgorMeloCastro@fleckens.hu,M,1958-01-19T00:00:00.000Z,6341.23,Sympla,9,4,1,0
Thiago,Cavalcanti,ThiagoRodriguesCavalcanti@fleckens.hu,M,1991-04-12T00:00:00.000Z,5421.57,Sympla,0,2,0,0
Otávio,Rodrigues,OtavioFernandesRodrigues@teleworm.us,M,1971-01-13T00:00:00.000Z,6676.19,Sympla,4,7,1,1
Arthur,Cavalcanti,ArthurBarrosCavalcanti@einrot.com,M,1954-08-30T00:00:00.000Z,9079.71,Sympla,6,1,0,0
Clara,Almeida,ClaraCorreiaAlmeida@cuvox.de,F,1946-05-08T00:00:00.000Z,6246.03,Sympla,2,8,1,1
Julia,Gomes,JulianSousaGomes@superrito.com,M,1992-04-13T00:00:00.000Z,6917.19,Sympla,7,1,1,0
Vinicius,Melo,ViniciusBarrosMelo@armyspy.com,M,1950-10-30T00:00:00.000Z,7915.13,Sympla,6,0,0,1
Kauã,Castro,KauaSantosCastro@fleckens.hu,M,1966-01-29T00:00:00.000Z,6552.83,Sympla,2,9,0,1
Rodrigo,Castro,RodrigoCostaCastro@einrot.com,M,1989-01-17T00:00:00.000Z,9077.83,Sympla,8,5,0,1
Matheus,Melo,MatheusSilvaMelo@teleworm.us,M,1991-09-21T00:00:00.000Z,5463.94,Sympla,3,4,1,1
Caio,Correia,CaioAraujoCorreia@gustr.com,M,1974-03-30T00:00:00.000Z,6179.99,Zoop,8,0,1,0
Vitor,Dias,VitorRodriguesDias@jourrapide.com,M,1974-03-24T00:00:00.000Z,7766.4,Ifood,0,1,1,0
Rena,Dias,RenanOliveiraDias@jourrapide.com,M,1951-09-18T00:00:00.000Z,7474.53,Ifood,9,4,1,0
Mateus,Barbosa,MateusAlvesBarbosa@fleckens.hu,M,1965-05-19T00:00:00.000Z,6286.88,Ifood,2,7,1,0
